IMO;Design Speed (knots)
6136484;16
6143069;17
6134763;18.6
6135136;19.8
6156751;130.798.916
6147511;14.7
6152124;23
6152132;23
6155303;14.7
6160707;24
6179471;17.5
6178477;19
6178485;19
6184914;15.8
6187539;19.04
6192403;30.5
6189765;15.3
6185489;21
6192411;30.5
6201495;18.5
6185454;23
6195190;18.8
6187540;19.1
6203895;26
6199595;27
6195599;209.871.028
6187556;21
6204330;19
6096496;23
3029405;16.625
6175389;13
5843710;1.329.108.033
6096776;2.198.295.918
6185421;1.329.108.033
6130775;16.5
6130828;14.5
6138339;16
6126808;14
6140093;20
6140094;20.1
6138929;22
6143670;25
6152652;16
6140102;20.1
6152653;16
6164763;20
6164068;21.7
6166931;15.5
6166976;21.1
6150889;12
6147703;21
6157261;15
6162445;22
6186135;15
6148027;1.329.108.033
5984849;20
6171718;13
6168393;13.5
6168394;13.5
6168412;13.5
6174685;14
6175641;14
6162744;22
6166923;15.2
6176066;1.329.108.033
6204399;1.329.108.033
6208157;12
6208165;12
6206911;13
6219400;1.329.108.033
6157593;209.871.028
6175725;12.5
6172526;1.329.108.033
6143660;209.871.028
6151261;209.871.028
6153410;209.871.028
6147521;209.871.028
6159863;209.871.028
6183233;13
6185636;7.7
6215629;13.5
6191543;13.3
6180049;1.401.548.052
6192030;17
6192038;17
6192046;17
6192047;17
3029413;16.625
6203436;19
6203444;19
6229308;1.173.571.429
6230380;13.5
6230388;12.5
6207928;10.5
6220135;12
6189444;12
6216534;10.5
6232633;12
6199379;12.5
6221199;11
6199605;14
6204471;20
6200553;14.5
6204479;20.5
6209733;13.3
6045855;10
6204872;13
6204873;13
6204881;13
6234963;12.5
6234971;12.5
6226580;14.5
6226588;13
6201503;18.5
6205149;15
6221593;10
6209818;11.5
6179234;11.7
6175709;11.8
6168404;13.5
6213274;11
6218629;14.5
6218637;12
6205114;14
6213151;12
5845418;1.401.548.052
6219485;1.329.108.033
6208642;12.5
6224370;12
6237224;12
6237232;12
6237963;12
6213721;13
6205933;14.5
6206679;15
6225487;15
6205697;14.5
6200233;10
6189411;10
6206809;13.45
6206817;13.6
6164727;1.329.108.033
6220845;15
6218145;1.329.108.033
6222786;16
6210375;16.5
6210383;16.5
6269474;13.5
6202689;21.6
6227253;10
6227254;10
6215071;14.5
6218849;14
6212421;15
6213083;1.329.108.033
6222385;11.5
6234378;14
6172688;12
6172696;11.8
6212676;1.329.108.033
6212684;1.329.108.033
6215421;12
6215429;12
6213307;10.2
6213315;10.8
6241893;10
6204905;22
6212961;25
6212969;25
6212977;25
6239061;11
6217647;1.329.108.033
6217646;20
6252977;19.7
5845740;1.173.571.429
6179242;11.7
6232649;12
6218207;10
6225780;10.5
6217168;10
6235364;11
6230476;11
6231033;11
6218231;14.8
6222848;12
6214253;14.5
6213391;22
6201339;14.2
6215113;1.329.108.033
6213419;22
6213420;22
6159570;13.5
6215412;1.221.954.023
6215061;14
6241720;11.5
6214261;12.5
6214271;12.5
6219136;13
6228438;11.5
6219213;16.8
6215130;14.6
6215133;14.6
6215141;14
6223274;9.2
6214279;14
6214281;13
6214289;13
6214297;13
6217561;130.798.916
6220453;16
6235137;11.5
6236424;11.5
6246411;11.5
6251361;11.5
6245473;11
6297575;5
6254383;12
6254391;12
6219109;10
6223067;10.6
6245568;6.2
6170239;14
6251395;12
6238183;12
6238227;12
6238191;7
6229639;1.221.954.023
6237241;13.5
6204907;22
6204915;22
6204923;22
6215723;15
6215879;14
6227082;15
6227501;14.5
6387136;12.5
6233492;14
6233493;14
6243973;18.5
6222099;19.5
6220557;130.798.916
6223830;19.1
6241781;1.329.108.033
6222463;22
6237233;13.5
6222584;1.329.108.033
6222592;12
6222101;22.9
6243981;1.862.916.667
6227509;8.4
6224163;19.7
6213399;22.9
6206151;16
6254399;12
672815;20
6298166;1.329.108.033
6263161;11.5
6274479;11.5
6229571;12
6226086;12
6227456;1.221.954.023
6230686;18
6195689;13.7
5845748;1.173.571.429
6222394;20
6222404;20
6222412;20
6222413;20
6258267;1.329.108.033
6258275;1.329.108.033
6218516;14
6233501;11.5
6222359;16
6222361;16
6222369;15.5
6305361;11
6213383;19
6225495;15
6229177;16
6302374;130.798.916
6217655;20
6229987;1.329.108.033
6272267;19.7
6220021;21.6
6221220;13
6225763;16
6219537;13
6214776;12.5
6248799;14
6226867;13
6235381;10.5
6237971;10.5
6234231;1.329.108.033
6224179;25
6224171;25
6206159;16
6228755;21.5
6271160;11.5
6218621;13.5
6218645;13.5
6124425;2.198.295.918
6191535;13.3
6142485;130.798.916
6142494;15
6156184;14.5
6156193;15
6150391;16.5
6152744;130.798.916
6108421;1.862.916.667
6134516;14
6141023;15
6147711;20
6132626;2.198.295.918
6132627;2.198.295.918
6132635;2.198.295.918
6141006;2.198.295.918
6141007;2.198.295.918
6132618;2.198.295.918
6190512;1.329.108.033
6260203;12
6222535;15
6222543;15
6251072;10
6251062;10
6231487;10
6231495;10
6188982;15
6102021;2.198.295.918
6096784;2.198.295.918
6179250;12
6124433;2.198.295.918
6179258;12
6217716;1.329.108.033
6142400;130.798.916
6239799;1.329.108.033
6239802;1.329.108.033
6229856;16.5
6229864;16.5
6230607;18
6230615;19.25
6234918;16.5
6227440;13
6227448;13
6227863;12.5
6275369;20
6059816;1.329.108.033
6246997;1.329.108.033
6239454;8.8
6064782;1.329.108.033
6223492;14
6233787;24.5
6233795;24.5
6233805;24.5
6233813;24.5
6240034;1.329.108.033
6250759;11
6231349;13
5845729;1.173.571.429
6261105;17
6245498;11
6245506;11
6245507;11
6250522;10.5
6242487;9.6
6242495;13.9
6261682;12.5
6261690;12.5
6214784;12.5
6161385;12
6143435;8.4
6153063;10
6156855;10.9
6162620;13
6115099;209.871.028
6159855;209.871.028
6162497;15.2
6113033;209.871.028
6108429;1.862.916.667
6124871;16
6101799;8.2
6151271;209.871.028
6132237;209.871.028
6126971;13
6168300;13.6
6126979;12.7
6157532;11
6149201;5.4
6149411;13
6142940;1.329.108.033
6149403;13
6126945;8
6162611;13
6119310;12.8
6126927;13.2
6126937;13.2
6126996;11
6127006;13.2
6146073;6
6152777;13
6147519;209.871.028
671647;16
6185628;14.5
6092533;2.198.295.918
6140499;13.3
6162534;17.5
6165230;1.329.108.033
6175953;15
6178730;13.8
6178733;13.9
6178913;12.5
6178965;13.7
6185462;11
6186082;12.3
6187910;14
6219518;12
6117727;13.5
6158463;12
6241301;10
6183435;17
6237208;19.75
6224491;19.5
6224499;19.5
6232671;20
6232679;20
6226173;19.5
6228325;19.5
6128234;209.871.028
6128242;209.871.028
6196297;1.329.108.033
6156262;12
6164726;1.329.108.033
6248427;13
6244707;15.5
6234552;15
6234553;15
6250366;12.5
6250367;12.5
6239311;12
6242589;13
6249783;13
6249791;13
6249799;13
6249802;130.798.916
6247512;12.5
6247513;11
6247521;9.5
6247529;9.5
6247539;12.5
6247541;9.5
6247549;12.5
6247557;12.5
6213704;209.871.028
6241085;14
6241077;1.401.548.052
6239287;14
6274481;11.5
6334429;11.5
6217305;11.5
6217307;11.5
6240997;1.329.108.033
6241000;1.329.108.033
6230850;13.5
6230858;13.5
6218647;1.401.548.052
6239217;15
6240484;12.3
6233242;23
6237695;12
6234536;18
6234544;18
6225737;13
6225727;13
6274513;11
6229299;7.4
6239462;1.329.108.033
6246331;13.5
6247598;13.5
6246335;13.5
6242372;12
6242373;12
6242381;12
6242389;12
6242397;12
6242401;12
6242409;12
6254199;15
6238053;21.8
6238061;21.8
6238071;21.8
6238079;21.8
6238081;21.8
6247147;10.5
6255922;130.798.916
6243403;14
6220890;13
6220898;13
6220906;13
6220907;13
6233121;21.6
6222109;21
6222117;22.9
6245175;11.5
6245183;11.5
6250530;10.5
6246437;11.5
6236217;17.7
6236225;17.7
6262040;11.5
6218333;14
6237721;12
6241180;1.401.548.052
6243773;16
6264781;16
6238707;16
6238113;14.5
6262709;10
5845549;1.173.571.429
5845557;1.173.571.429
6246419;15
6246421;15
6265117;1.221.954.023
6240517;17
5845574;1.173.571.429
5845480;1.173.571.429
5844197;12
6230257;22
6230265;21
6256108;14
5845529;8
6195697;13.7
6221561;12
6221569;12
6241339;15.5
6241341;15.5
6240345;11
6248521;10.7
5845582;1.173.571.429
6237659;11
6140145;18
6154852;24
6154853;24
6188965;1.329.108.033
6190582;6.6
6232624;20
6232632;20
6212377;14
6247740;14.5
6195661;12.7
6225665;130.798.916
6212136;16
6158568;14
6175441;23.5
6175433;23.5
6335440;13.5
6237660;11
6260847;8
6243295;12
5845488;1.173.571.429
5845496;1.173.571.429
5845504;1.173.571.429
6237678;11
6237670;11
6237686;12
6250960;12
6250968;12
6250976;12
6208495;15
6170869;12
6176578;15
6132245;209.871.028
6172712;10.5
6146074;12
6210847;13.5
6215819;12
6204459;11.8
6146514;1.329.108.033
6179225;12
6208487;13.1
6150480;13.2
6192453;16.625
6162619;13.5
6185644;1.329.108.033
6179233;12.5
6215811;12
6161853;14
6164170;14
6166656;20
6172704;12
6204461;11.8
6178941;16
6172518;1.329.108.033
6104351;209.871.028
6230866;13.5
6240476;12.3
6233777;22
6233785;22
6250533;10.5
6244427;1.401.548.052
6244435;1.401.548.052
6341855;17
6372309;17
6260211;1.221.954.023
6240337;23
6232417;18.5
6232425;18
6273263;13.5
6268435;12.5
6252568;12
6293018;1.329.108.033
6232722;12
6243774;16
6264789;16
6244073;16
6245551;16
6244673;16
6236919;20
6222421;20
6241327;20
6252429;12
6136817;16.625
6255445;13.5
6255447;14.5
6258491;130.798.916
6250541;10.5
6256507;13
5846036;1.173.571.429
6250055;10.5
6298521;10.5
5846271;10
6334611;12.7
6254907;13.1
6252482;14.5
6252490;14.5
6237711;11.5
6237719;12
6250074;14.5
6245321;10.5
6245329;10.5
6245335;10.5
6245343;10.5
6275873;15.5
6248601;16
6273117;16
6249507;16
6245715;11.5
6245723;11.5
6245731;11.5
6245734;11.5
6245742;11.5
6205705;14.5
6239861;22.87
6239871;22.99
6221107;19.5
6221115;19.5
6240719;1.852.122.302
6246599;19.5
6246603;19.5
6235240;19.5
6237069;19.5
6239295;16.5
6262195;14.5
6255210;15
6253479;13.9
6253481;13.9
6296051;13.5
6296059;13.5
6250812;12
6250804;13
6250794;12
6250813;12
6251621;13.5
6251872;13.5
6251881;13.5
6251889;13.5
6325877;13
6325885;13
6248365;16
6248373;16
6248374;16
6248357;11.5
6260497;13
6312387;12
6281345;13.5
6255421;14.5
6254915;14.9
6254923;14.9
6265364;12
6125358;209.871.028
6141633;17
6240686;14.5
6240687;14.3
6248723;1.173.571.429
6246255;12
6246263;1.329.108.033
6246273;1.329.108.033
6246274;1.329.108.033
6255629;1.221.954.023
6333217;14
6320273;15.5
5982091;19
6257863;1.329.108.033
6251873;13.5
6254418;13.5
6254426;13.5
6254427;13.5
6291025;1.329.108.033
6291033;1.329.108.033
6234561;15
5843291;1.173.571.429
5845842;7
5845850;7
6316961;1.329.108.033
6262048;11.5
6311074;14
6355241;12
6250549;10.5
6250557;10.5
6255437;18
6126279;209.871.028
6255560;13.7
6255568;14
6324797;13.5
6324801;13.5
6262629;1.221.954.023
6262637;12
6278196;1.329.108.033
6259048;1.329.108.033
6234317;28.5
6234325;28.5
6250565;10.5
6241687;24
6249679;27
6252455;27
6329925;13
6288808;20.8
5846028;7
6319796;16
6319806;13.5
6441571;1.401.548.052
6441579;13
6250090;15
6250098;15
6257159;13.5
6257160;13.5
6250436;25
6248803;12
6255455;14.5
6255463;14
6255473;12
6243303;12
6355249;13.5
6240525;17
6274514;11
6274522;11
6274533;11
6274549;11
6274557;11
6248451;22
6248459;21
6292089;13.5
6291911;20.3
6278057;11.1
6236189;24.5
6248349;11.5
6314533;130.798.916
6130133;209.871.028
6130130;209.871.028
6152229;209.871.028
6152237;209.871.028
6128266;209.871.028
6128258;209.871.028
6126281;209.871.028
6334985;12
6245559;16
6245560;16
6256323;15
6278033;10
6281305;10
6344713;1.221.954.023
6344721;1.221.954.023
6344729;1.221.954.023
6251966;15
6282561;15
6312806;11.7
6290209;10
6290217;1.221.954.023
6335536;10
6332114;1.221.954.023
6267342;1.329.108.033
6268271;15
6268261;15
6362942;17
6248141;12.5
6262523;11
6274367;12
6274984;18
6274992;18
6269141;15.5
6252308;21.6
6262222;13.5
6262230;13.5
6282438;13
6282446;13
6282447;13
6285102;13.9
6285110;13.9
6258049;23
6264431;10.5
6264439;10.5
6289127;10.5
6306412;10.5
6286805;1.221.954.023
6286807;12.5
5846279;10
6243599;27.5
6286364;13.5
6286372;13
6339564;13.8
6339572;1.329.108.033
6271984;14.5
6271992;14.5
6285955;12
6269568;11.5
6273392;1.173.571.429
6251698;19.5
6262654;18
6269803;18
6279417;13.6
6342032;12
6342033;12
6342041;12
6342049;12
6342057;12
6342065;12
6227614;11
6278926;11
6278927;11
6324501;11
6255957;20.3
6278241;14
6377526;14
6360104;14
6352617;13.5
6352625;13.5
6254811;15
6265927;21.7
6266767;12.5
6252332;21.5
6285118;14.3
6285126;13.9
6285163;13.9
6294850;14.5
6323737;16
6222447;16
6222455;15.4
6326373;13
6298191;15
6298199;15
6298203;1.221.954.023
6271499;15
6274452;16
6275281;13.3
6275289;13.3
6394596;14.5
6276899;13
6394606;13.5
6348103;13
6348111;13
6362019;13
6248304;24
6269543;24
6276901;13
6276909;13
6276917;13
6276925;13
5846365;1.173.571.429
6271237;13.6
6312876;13.7
6269343;15.5
6269351;15.5
6269359;15.5
6269361;15.5
5846259;1.173.571.429
6250567;10.5
6209139;10.5
6209141;10.5
6209149;10.5
6320282;1.173.571.429
6280515;17
6280523;17
6254819;15
6266775;10.9
6280531;17
6280534;17
6280542;17
6280550;17
6280558;17
6249393;130.798.916
6273169;11
6280566;17
6321345;11
6360767;130.798.916
6266347;15
6285597;14
6285601;14
6263517;8
5845797;1.173.571.429
6285609;14
6285617;14
6275430;1.173.571.429
6292666;10
6292672;1.329.108.033
6209157;10.5
6285171;13.9
6279178;13.5
6363113;13.5
6370263;1.401.548.052
6370275;1.401.548.052
6260123;1.852.122.302
6279520;14
6279528;14
6279538;14.5
6279546;14
6279547;14
6377527;14
6377537;14
6292775;13.7
6292783;1.221.954.023
6345488;12
6345496;12
6345504;12
6371631;16
6275621;1.401.548.052
6297895;6
6285249;13.9
6285257;13.9
6246282;12
6361712;12
6361739;12
6269811;18
6292658;1.329.108.033
6284326;13
6284327;13
6296129;13
6296503;12
6296511;13
6371639;16
6336849;1.329.108.033
6362950;17
6284911;13.3
6284919;13.5
6275535;1.329.108.033
6431891;12.5
6286373;13
6307328;1.329.108.033
6307334;1.329.108.033
6278456;18
6278464;18
6278467;18
6278475;18
6278483;18
6275629;20
6278499;18
6294946;18
6294947;18
6294955;18
6241093;1.852.122.302
6255933;20.4
6275551;20.4
6318395;1.852.122.302
6254089;1.852.122.302
6259762;1.852.122.302
6267530;1.852.122.302
6257115;1.852.122.302
6260453;1.852.122.302
6327306;20
6344086;19.75
6346917;19.75
6400352;19.5
6265301;15
6320769;20
6316805;20
6275253;19.7
6283518;19.75
6327307;20
6327875;20
6258057;22.9
6283152;18
6283153;18
6296401;12
6296409;12.5
6299329;16.1
6299377;16.1
6341899;16
6319694;14
6364752;20.15
6365370;20.15
6375176;1.329.108.033
6325069;11.5
6337125;12.5
6291087;13.5
6389241;13.5
6301801;14
6381813;1.329.108.033
6387347;1.329.108.033
6390791;1.329.108.033
6380662;13
6380668;13
6240615;19.5
6286311;14.5
6326321;15.4
6280221;12.3
6280229;12.3
6320255;15.3
6362021;13
6287298;13
6287306;13
6287307;13
6287315;13
6287323;13
6287331;13
6287337;13
6287345;13
6295503;24.5
6304193;13
6321951;9.8
6379317;1.401.548.052
6376076;13.5
6381664;1.401.548.052
6438623;14
5846374;10
6278937;11
6324537;11.7
6352792;11.6
6352793;11.6
6353589;1.329.108.033
6353597;14
5846061;1.173.571.429
6327607;15.5
6327615;15.5
6301963;15
6301971;15
6301979;15
6301981;15
6296433;1.852.122.302
6247565;1.221.954.023
6307217;1.221.954.023
6307225;1.221.954.023
6307233;1.221.954.023
6307234;1.221.954.023
6353503;13.5
6353511;13.5
6388146;10
6388147;13.5
6290225;10.5
6290233;10.5
6290234;10.5
6290242;10.5
6290250;10.5
6288781;15
6288789;15
5846487;10
6338241;10.5
6209165;10.5
6377185;12
6383007;12
6276421;1.852.122.302
6405129;15.7
6320481;11
6330878;19.5
6289511;1.852.122.302
6330870;19.5
6296767;8
6370247;12
6252316;22
6284695;15.5
6284703;15.5
6284711;15.5
6290477;18
6290485;17.5
6351851;14.5
6338415;1.329.108.033
6338423;1.329.108.033
6338431;12
6278065;18
6338379;11
6338380;1.401.548.052
6286641;16
6298635;17.5
6284739;12
6284740;12
6369735;13.3
6369743;14
6298643;18.9
6295763;1.401.548.052
6305455;14
6371100;11
6371108;11
6302409;10.5
6344739;1.221.954.023
6299473;11
6299474;11
6310298;1.173.571.429
6336763;12
6324919;12.5
6324920;12.5
6316308;1.401.548.052
6316316;14
6310969;14
6310977;14
6364822;1.401.548.052
6364830;16
6333905;1.401.548.052
5846443;1.173.571.429
5846529;1.173.571.429
6234327;28.5
6234337;28.5
6283255;22.2
6299482;11
6299490;11
6252324;22
6288655;13.5
6288663;13
6333225;14
6307342;1.329.108.033
6307350;1.329.108.033
6255965;22
6333157;12.5
6233814;24.5
6305674;24.5
6305682;24.5
6305690;24.5
6295841;14
6308837;1.329.108.033
6408371;14
6305463;14
6344457;10.1
6290493;17.5
6306506;17.5
6414998;18.5
6350373;16
6209173;10.5
6320229;1.173.571.429
6339971;14
6339979;14
6338406;14
6338407;14
6371761;1.329.108.033
6374993;1.329.108.033
6385310;1.329.108.033
6364838;1.401.548.052
6364846;16
6281143;13
6292828;14
6322031;14.5
6322039;14.5
6310701;16
6310863;16
6310867;16
6310875;16
6304813;16
6310883;16
6310891;16
6310899;16
6310900;16
6310908;16
6310916;16
6357165;14.5
6333096;14.8
6333104;12
6284337;14
6345920;14
6338233;10.5
6306369;18
6306377;1.329.108.033
6346157;10.5
6310091;16.5
6245535;19.5
6245543;19.5
6316040;16
6316048;16
6283371;12
6283379;12
6286737;22
6436647;14.5
6418575;13
6429931;13.5
6325695;15
6325703;15
6384469;11.5
6345617;11.5
6372386;1.221.954.023
6375405;1.221.954.023
6380075;12.85
6385590;1.221.954.023
6310733;1.401.548.052
5846718;1.173.571.429
6282499;13.7
6308958;13.7
6308966;13.7
6308967;13.7
6313644;17
6313652;17
6390010;13
6424619;12
6424621;12
6419735;12
6419743;12
6370267;1.401.548.052
6370283;1.401.548.052
6417474;14
6417482;14.5
6312137;18
6371169;13
6359873;10
6376422;12
6358732;14
6345601;11.5
6345609;11.5
6388833;15
6401195;15
6401214;15
6322065;13
6322068;14
6423387;12
6326786;12
6317493;1.329.108.033
5846831;1.401.548.052
6381493;1.329.108.033
6320437;14
3271928;25
3271938;25
6431185;11.2
6537045;130.798.916
6312352;13
6312353;13
6312593;21
6312594;21
6312604;21
6312612;21
6312613;21
6312621;21
6327570;12
6317492;1.329.108.033
6385877;12
6385885;14.5
6290258;10.5
6297860;1.329.108.033
6330234;15.5
6322084;19
6135807;130.798.916
6290266;10.5
6394801;10
6399561;10
6399569;10
6418675;13
6405111;1.329.108.033
6460470;11.5
6370412;13
6292044;19.5
6292052;20
6342849;12
6342857;12
6372646;8
6358751;15
6358759;15
6358735;18
6358743;17
6376007;12
6321935;16.5
6384449;10
6388842;12
6334636;12.3
6295703;19
6295711;18.5
6404434;15.5
6327985;1.401.548.052
6335935;1.221.954.023
6335943;14
6320489;15
6316917;13.6
6338249;10.5
6372728;130.798.916
6395042;13.5
6333897;15
6352097;10.5
6365735;10.8
6319901;19.6
6330773;1.173.571.429
6335004;16
6335012;16
6373291;10.5
6364306;15
6364307;15
6364315;15
6364323;15
6408139;14
6375732;12
6364030;14
6364038;14.5
6389239;11.4
6389268;10.3
6350339;12
6528559;1.329.108.033
6350469;13
6355269;11
6352872;13.5
6352873;13.5
6352881;13.5
6352889;13.5
6327822;11.5
6327830;11.5
6327838;11.5
6327846;11.5
6319909;19.6
6374566;1.401.548.052
6374567;1.401.548.052
6380498;14.8
6380506;14.8
6378833;13.7
6378885;13.7
6328561;1.221.954.023
6383953;1.221.954.023
6344878;18.5
6344886;18.5
6346857;18.5
6346865;18.5
6345512;12
6374091;12
6345541;13
6338711;16
6372655;8
6345050;1.173.571.429
6462323;1.329.108.033
6395050;13.5
6341013;15
6378163;14.2
6378171;14.2
6412151;14.5
6412159;14.5
6455704;10
6455712;10
6474573;10
6507257;13
6275881;18.5
6353280;15
6353288;15
6352219;17.5
6352236;17.5
6418323;19.9
6418331;1.852.122.302
6418335;1.852.122.302
6422107;1.852.122.302
6422115;1.852.122.302
6369054;11
6511941;1.221.954.023
6331341;13
6331349;13
6359377;17
6359385;17
6359387;17
6359395;17
6383015;16.6
6404990;1.329.108.033
6408493;1.329.108.033
6408338;1.329.108.033
6378553;16
6350888;23.9
6378179;14.2
6336264;12
6336267;12
6384320;14.5
6363853;15.5
6363905;15.5
6363914;15.5
6363933;15.5
6386061;16.1
6386071;16.1
6386079;16.1
6386081;16.1
6367636;19.5
6367957;17
6367965;17
6367973;17
6367974;17
6367982;15.8
6393321;1.221.954.023
6409703;10
